frame,hand,landmark,x,y,z
1,hand_1,WRIST,0.526980459690094,0.6759448647499084,1.1634841001750829e-07
1,hand_1,THUMB_CMC,0.5628926157951355,0.6681987643241882,0.0029539046809077263
1,hand_1,THUMB_MCP,0.5949403643608093,0.6541495323181152,5.9692763898056e-05
1,hand_1,THUMB_IP,0.6162542104721069,0.6434693932533264,-0.005214013624936342
1,hand_1,THUMB_TIP,0.6326358318328857,0.6384003758430481,-0.010301542468369007
1,hand_1,INDEX_FINGER_MCP,0.6003842949867249,0.6120293140411377,-0.004086051136255264
1,hand_1,INDEX_FINGER_PIP,0.6213111877441406,0.6110901832580566,-0.017241593450307846
1,hand_1,INDEX_FINGER_DIP,0.6337677240371704,0.6260985732078552,-0.02725108712911606
1,hand_1,INDEX_FINGER_TIP,0.6401717066764832,0.6413490176200867,-0.03309173509478569
1,hand_1,MIDDLE_FINGER_MCP,0.5881097316741943,0.6099085807800293,-0.011234492994844913
1,hand_1,MIDDLE_FINGER_PIP,0.6101129055023193,0.6293773651123047,-0.022127795964479446
1,hand_1,MIDDLE_FINGER_DIP,0.61930912733078,0.6512020826339722,-0.027196062728762627
1,hand_1,MIDDLE_FINGER_TIP,0.6237934231758118,0.6686866879463196,-0.030061420053243637
1,hand_1,RING_FINGER_MCP,0.5737591981887817,0.6164051294326782,-0.01863834261894226
1,hand_1,RING_FINGER_PIP,0.5944322347640991,0.6415809392929077,-0.02950773574411869
1,hand_1,RING_FINGER_DIP,0.6022852659225464,0.6622939705848694,-0.02934674546122551
1,hand_1,RING_FINGER_TIP,0.6063298583030701,0.678987979888916,-0.027737896889448166
1,hand_1,PINKY_MCP,0.5581967830657959,0.629790186882019,-0.026049848645925522
1,hand_1,PINKY_PIP,0.5766096115112305,0.6541615128517151,-0.03321105241775513
1,hand_1,PINKY_DIP,0.5845081210136414,0.6708097457885742,-0.031433504074811935
1,hand_1,PINKY_TIP,0.5888952016830444,0.684091329574585,-0.028385639190673828
3,hand_1,WRIST,0.5386003851890564,0.5790880918502808,-3.205517984383732e-08
3,hand_1,THUMB_CMC,0.5673699378967285,0.5621607303619385,-0.0003758679376915097
3,hand_1,THUMB_MCP,0.5845608711242676,0.540267825126648,-0.0023615502286702394
3,hand_1,THUMB_IP,0.5923362970352173,0.5198528170585632,-0.006788275204598904
3,hand_1,THUMB_TIP,0.5923143625259399,0.5064930319786072,-0.010498217307031155
3,hand_1,INDEX_FINGER_MCP,0.5810383558273315,0.5068647265434265,0.0014948047464713454
3,hand_1,INDEX_FINGER_PIP,0.5877072215080261,0.4824179410934448,-0.010054775513708591
3,hand_1,INDEX_FINGER_DIP,0.5927293300628662,0.4956158697605133,-0.018703799694776535
3,hand_1,INDEX_FINGER_TIP,0.5931523442268372,0.5123081803321838,-0.022688740864396095
3,hand_1,MIDDLE_FINGER_MCP,0.5665957927703857,0.5093547701835632,-0.003571846289560199
3,hand_1,MIDDLE_FINGER_PIP,0.5736815929412842,0.4913483262062073,-0.01461747381836176
3,hand_1,MIDDLE_FINGER_DIP,0.5810732841491699,0.5079723596572876,-0.0200812965631485
3,hand_1,MIDDLE_FINGER_TIP,0.5821816921234131,0.5249584913253784,-0.02190219983458519
3,hand_1,RING_FINGER_MCP,0.5515809655189514,0.5152713060379028,-0.009941790252923965
3,hand_1,RING_FINGER_PIP,0.5600182414054871,0.5047573447227478,-0.021160796284675598
3,hand_1,RING_FINGER_DIP,0.5676645636558533,0.5210493803024292,-0.022607501596212387
3,hand_1,RING_FINGER_TIP,0.5686807632446289,0.5361695289611816,-0.02108088880777359
3,hand_1,PINKY_MCP,0.5362828969955444,0.5251599550247192,-0.01656990870833397
3,hand_1,PINKY_PIP,0.5458188652992249,0.5227753520011902,-0.02451266162097454
3,hand_1,PINKY_DIP,0.552050769329071,0.5361505150794983,-0.024264708161354065
3,hand_1,PINKY_TIP,0.5532339215278625,0.5491759181022644,-0.02199593558907509
4,hand_1,WRIST,0.5207840204238892,0.5391900539398193,9.112110888054303e-08
4,hand_1,THUMB_CMC,0.5549115538597107,0.5187406539916992,0.0006724992999807
4,hand_1,THUMB_MCP,0.5745833516120911,0.49670320749282837,0.0009710052399896085
4,hand_1,THUMB_IP,0.5809595584869385,0.4781465232372284,-0.0013756172265857458
4,hand_1,THUMB_TIP,0.5812457799911499,0.46158313751220703,-0.0033585235942155123
4,hand_1,INDEX_FINGER_MCP,0.5703369975090027,0.46657809615135193,0.012321507558226585
4,hand_1,INDEX_FINGER_PIP,0.5772960782051086,0.44552233815193176,0.005254935473203659
4,hand_1,INDEX_FINGER_DIP,0.5843332409858704,0.4499909579753876,-0.0026730310637503862
4,hand_1,INDEX_FINGER_TIP,0.5868058204650879,0.4591178297996521,-0.00651311781257391
4,hand_1,MIDDLE_FINGER_MCP,0.5591814517974854,0.46719875931739807,0.00819094106554985
4,hand_1,MIDDLE_FINGER_PIP,0.5687299370765686,0.4448603093624115,0.0025168289430439472
4,hand_1,MIDDLE_FINGER_DIP,0.5775601863861084,0.45215749740600586,-0.004383166786283255
4,hand_1,MIDDLE_FINGER_TIP,0.579644501209259,0.4632888734340668,-0.007613766007125378
4,hand_1,RING_FINGER_MCP,0.5462009310722351,0.47090357542037964,0.0026326037477701902
4,hand_1,RING_FINGER_PIP,0.5578716397285461,0.4549972712993622,-0.004714820999652147
4,hand_1,RING_FINGER_DIP,0.5656152963638306,0.46824896335601807,-0.006891920231282711
4,hand_1,RING_FINGER_TIP,0.5657880902290344,0.48159059882164,-0.005984992254525423
