frame,keypoint,x,y,z,visibility
0,NOSE,0.5203428864479065,0.4038286805152893,-0.8339176774024963,0.9992949962615967
0,LEFT_EYE_INNER,0.5325819253921509,0.38030827045440674,-0.8043892979621887,0.9983495473861694
0,LEFT_EYE,0.5429545044898987,0.3816438317298889,-0.8049810528755188,0.9980399012565613
0,LEFT_EYE_OUTER,0.5524334907531738,0.38267359137535095,-0.8050102591514587,0.9984703660011292
0,RIGHT_EYE_INNER,0.503919780254364,0.3778844177722931,-0.8007010817527771,0.9989665746688843
0,RIGHT_EYE,0.49372977018356323,0.37778356671333313,-0.8013256192207336,0.9990184307098389
0,RIGHT_EYE_OUTER,0.4825490117073059,0.37843725085258484,-0.8019071221351624,0.9992388486862183
0,LEFT_EAR,0.5708346962928772,0.3948677182197571,-0.6079018712043762,0.9990473389625549
0,RIGHT_EAR,0.46612581610679626,0.39620348811149597,-0.5911243557929993,0.9985211491584778
0,MOUTH_LEFT,0.5406314730644226,0.4308706223964691,-0.7548667192459106,0.9991769194602966
0,MOUTH_RIGHT,0.4993140399456024,0.433546781539917,-0.753384530544281,0.9992048144340515
0,LEFT_SHOULDER,0.6463372111320496,0.5369740128517151,-0.4945807158946991,0.9994787573814392
0,RIGHT_SHOULDER,0.4028576612472534,0.5328468084335327,-0.4501854181289673,0.9986269474029541
0,LEFT_ELBOW,0.6770322322845459,0.7553049325942993,-0.4774196743965149,0.7366185784339905
0,RIGHT_ELBOW,0.366433322429657,0.7539963722229004,-0.5151540637016296,0.49207064509391785
0,LEFT_WRIST,0.670081615447998,0.9198330640792847,-0.574862003326416,0.057676464319229126
0,RIGHT_WRIST,0.36892569065093994,0.9110280871391296,-0.6921146512031555,0.038339532911777496
0,LEFT_PINKY,0.6765674352645874,0.9580458402633667,-0.6244841814041138,0.05496349185705185
0,RIGHT_PINKY,0.35708001255989075,0.940750241279602,-0.760053277015686,0.030805837363004684
0,LEFT_INDEX,0.6650938987731934,0.9547970294952393,-0.6755199432373047,0.06805791705846786
0,RIGHT_INDEX,0.3726474344730377,0.9465038776397705,-0.8033040165901184,0.04021521285176277
0,LEFT_THUMB,0.6627247929573059,0.9381226897239685,-0.5957776308059692,0.062197163701057434
0,RIGHT_THUMB,0.3771701455116272,0.9300246238708496,-0.7164283990859985,0.03871886059641838
0,LEFT_HIP,0.6025604605674744,0.8104639649391174,-0.002154364949092269,0.8937051892280579
0,RIGHT_HIP,0.4504309892654419,0.8138706684112549,0.001714017940685153,0.9026997089385986
0,LEFT_KNEE,0.6001898050308228,1.063523530960083,-0.007480971049517393,0.03886055946350098
0,RIGHT_KNEE,0.4575635492801666,1.0249346494674683,-0.05524955317378044,0.02479301206767559
0,LEFT_ANKLE,0.5943668484687805,1.2437013387680054,0.3206968605518341,0.00670204684138298
0,RIGHT_ANKLE,0.4463500678539276,1.2243363857269287,0.35306525230407715,0.007788665127009153
0,LEFT_HEEL,0.6012970209121704,1.2715981006622314,0.3412427008152008,0.0048601264134049416
0,RIGHT_HEEL,0.4460315704345703,1.2544842958450317,0.3859836161136627,0.0054021915420889854
0,LEFT_FOOT_INDEX,0.5517480373382568,1.3080846071243286,0.1152501106262207,0.005990815814584494
0,RIGHT_FOOT_INDEX,0.45566004514694214,1.295775055885315,0.1871059387922287,0.005864896345883608
1,NOSE,0.5196651220321655,0.4043404161930084,-0.6066881418228149,0.9992198348045349
1,LEFT_EYE_INNER,0.5322573781013489,0.38054248690605164,-0.5882560610771179,0.9981716871261597
1,LEFT_EYE,0.5427634716033936,0.38181933760643005,-0.5887817144393921,0.9978023171424866
1,LEFT_EYE_OUTER,0.5522744655609131,0.38289743661880493,-0.5887899398803711,0.9983067512512207
1,RIGHT_EYE_INNER,0.5038542747497559,0.37843117117881775,-0.5832211375236511,0.9988844394683838
1,RIGHT_EYE,0.49378252029418945,0.37836718559265137,-0.5838804244995117,0.9989454746246338
1,RIGHT_EYE_OUTER,0.4827006459236145,0.3790293037891388,-0.5844075083732605,0.9991906881332397
1,LEFT_EAR,0.5703666806221008,0.39588654041290283,-0.44791683554649353,0.998908281326294
1,RIGHT_EAR,0.46624282002449036,0.39614054560661316,-0.42712870240211487,0.9984549880027771
1,MOUTH_LEFT,0.5401544570922852,0.43104392290115356,-0.548065185546875,0.9990860819816589
1,MOUTH_RIGHT,0.499178022146225,0.43331223726272583,-0.5457004308700562,0.9991579651832581
1,LEFT_SHOULDER,0.6461372971534729,0.5366047024726868,-0.3948023021221161,0.9994271397590637
1,RIGHT_SHOULDER,0.4028409719467163,0.5328453779220581,-0.32941827178001404,0.998591959476471
1,LEFT_ELBOW,0.6765302419662476,0.7552089691162109,-0.39682987332344055,0.72895348072052
1,RIGHT_ELBOW,0.3666118383407593,0.7515392303466797,-0.396953284740448,0.48037245869636536
1,LEFT_WRIST,0.6700960993766785,0.918063223361969,-0.45561838150024414,0.05562200769782066
1,RIGHT_WRIST,0.36820992827415466,0.9116845726966858,-0.5223895311355591,0.037276607006788254
1,LEFT_PINKY,0.6771310567855835,0.9580470323562622,-0.49007561802864075,0.05371636152267456
1,RIGHT_PINKY,0.3570839762687683,0.9442214369773865,-0.5682179927825928,0.03057439997792244
1,LEFT_INDEX,0.6668441295623779,0.9546218514442444,-0.5319801568984985,0.06695178151130676
1,RIGHT_INDEX,0.37203970551490784,0.9564159512519836,-0.6054654717445374,0.04022200405597687
1,LEFT_THUMB,0.6626691222190857,0.9371101260185242,-0.471347451210022,0.06136392429471016
